Company,Folder,File Name,Transcript
alcoa,adhoc,hot_mill.ulaw,Hot mill.
alcoa,adhoc,hydraulics.ulaw,Hydraulics.
alcoa,adhoc,midnight.ulaw,Midnight.
alcoa,adhoc,shift.ulaw,Shift.
alcoa,adhoc,survey.ulaw,Survey.
alcoa,adhoc,waste_water.ulaw,Wastewater.
alcoa,callout_type,1001.ulaw,Normal.
alcoa,callout_type,1007.ulaw,Call until notify.
alcoa,callout_type,1014.ulaw,Travel.
alcoa,callout_type,1016.ulaw,Fill shift.
alcoa,callout_type,1025.ulaw,Notification.
alcoa,callout_type,1110.ulaw,Planned overtime.
alcoa,callout_type,1210.ulaw,Emergency.
alcoa,callout_type,1212.ulaw,Emergency.
alcoa,callout_type,1481.ulaw,"Overtime opportunity, incidental."
alcoa,callout_type,1482.ulaw,Overtime opportunity block.
alcoa,callout_type,1557.ulaw,"Overtime opportunity, incidental."
alcoa,callout_type,1558.ulaw,Overtime opportunity block.
alcoa,callout_type,1559.ulaw,Overtime opportunity block.
alcoa,company,1201.ulaw,Alcoa Warwick Operations.
alcoa,company,1202.ulaw,Alcoa.
alcoa,company,1265.ulaw,Press any key to continue.
ameren,callout_type,1001.ulaw,Normal.
ameren,callout_type,1002.ulaw,Fill shift.
ameren,callout_type,1004.ulaw,Out of town.
ameren,callout_type,1008.ulaw,Emergency.
ameren,callout_type,1015.ulaw,Prearranged.
ameren,callout_type,1025.ulaw,Notification.
ameren,callout_type,1026.ulaw,Storm.
ameren,callout_type,1289.ulaw,Trouble call.
ameren,callout_type,1290.ulaw,Gas emergency.
ameren,callout_type,1291.ulaw,Gas emergency.
ameren,callout_type,1292.ulaw,General callout.
ameren,callout_type,1293.ulaw,All eligible.
ameren,callout_type,1294.ulaw,End of day.
ameren,callout_type,1295.ulaw,Early start.
ameren,callout_type,1296.ulaw,Storm event.
ameren,callout_type,1325.ulaw,Trouble call first responder.
ameren,callout_type,1326.ulaw,"Trouble call, crew."
ameren,callout_type,1365.ulaw,Out of town.
ameren,callout_type,1366.ulaw,CTT.
ameren,callout_type,1657.ulaw,Out of area.
ameren,callout_type,1658.ulaw,Working emergency call out.
ameren,company,1201.ulaw,"Ameren, Missouri."
ameren,company,1202.ulaw,Amarin.
ameren,company,1265.ulaw,Press any key to continue.
ameren,job_classification,1098.ulaw,MDF specialist.
ameren,job_classification,3000.ulaw,"Leader,"
ameren,job_classification,3001.ulaw,Crew member.
ameren,job_classification,3002.ulaw,"Substation crew member,"
ameren,job_classification,3003.ulaw,"First responder,"
ameren,job_classification,3004.ulaw,"Fault locator,"
ameren,job_classification,3005.ulaw,Service line driver.
ameren2,callout_type,1001.ulaw,Normal.
ameren2,callout_type,1002.ulaw,Fill shift.
ameren2,callout_type,1004.ulaw,Out of town.
ameren2,callout_type,1008.ulaw,Emergency.
ameren2,callout_type,1015.ulaw,Prearranged.
ameren2,callout_type,1025.ulaw,Notification.
ameren2,callout_type,1026.ulaw,Storm.
ameren2,callout_type,1289.ulaw,Trouble call.
ameren2,callout_type,1290.ulaw,Gas emergency.
ameren2,callout_type,1291.ulaw,Gas emergency.
ameren2,callout_type,1292.ulaw,General callout.
ameren2,callout_type,1293.ulaw,All eligible.
ameren2,callout_type,1294.ulaw,End of day.
ameren2,callout_type,1295.ulaw,Early start.
ameren2,callout_type,1296.ulaw,Storm event.
ameren2,callout_type,1325.ulaw,Trouble call first responder.
ameren2,callout_type,1326.ulaw,"Trouble call, crew."
ameren2,callout_type,1365.ulaw,Out of town.
ameren2,callout_type,1366.ulaw,CTT.
ameren2,callout_type,1657.ulaw,Out of area.
ameren2,callout_type,1658.ulaw,Working emergency call out.
ameren2,company,1201.ulaw,"Ameren, Missouri."
ameren2,company,1202.ulaw,Amarin.
ameren2,company,1265.ulaw,Press any key to continue.
ameren2,job_classification,1098.ulaw,MDF specialist.
ameren2,job_classification,3000.ulaw,"Leader,"
ameren2,job_classification,3001.ulaw,Crew member.
ameren2,job_classification,3002.ulaw,"Substation crew member,"
ameren2,job_classification,3003.ulaw,"First responder,"
ameren2,job_classification,3004.ulaw,"Fault locator,"
ameren2,job_classification,3005.ulaw,Service line driver.
ameren3,callout_type,1001.ulaw,Normal.
ameren3,callout_type,1002.ulaw,Fill shift.
ameren3,callout_type,1004.ulaw,Out of town.
ameren3,callout_type,1008.ulaw,Emergency.
ameren3,callout_type,1015.ulaw,Prearranged.
ameren3,callout_type,1025.ulaw,Notification.
ameren3,callout_type,1026.ulaw,Storm.
ameren3,callout_type,1289.ulaw,Trouble call.
ameren3,callout_type,1290.ulaw,Gas emergency.
ameren3,callout_type,1291.ulaw,Gas emergency.
ameren3,callout_type,1292.ulaw,General callout.
ameren3,callout_type,1293.ulaw,All eligible.
ameren3,callout_type,1294.ulaw,End of day.
ameren3,callout_type,1295.ulaw,Early start.
ameren3,callout_type,1296.ulaw,Storm event.
ameren3,callout_type,1325.ulaw,Trouble call first responder.
ameren3,callout_type,1326.ulaw,"Trouble call, crew."
ameren3,callout_type,1365.ulaw,Out of town.
ameren3,callout_type,1366.ulaw,CTT.
ameren3,callout_type,1657.ulaw,Out of area.
ameren3,callout_type,1658.ulaw,Working emergency call out.
ameren3,company,1201.ulaw,"Ameren, Missouri."
ameren3,company,1202.ulaw,Amarin.
ameren3,company,1265.ulaw,Press any key to continue.
ameren3,job_classification,1098.ulaw,MDF specialist.
ameren3,job_classification,3000.ulaw,"Leader,"
ameren3,job_classification,3001.ulaw,Crew member.
ameren3,job_classification,3002.ulaw,"Substation crew member,"
ameren3,job_classification,3003.ulaw,"First responder,"
ameren3,job_classification,3004.ulaw,"Fault locator,"
ameren3,job_classification,3005.ulaw,Service line driver.
arizps,callout_type,1001.ulaw,Normal.
arizps,callout_type,1003.ulaw,Plans.
arizps,callout_type,1004.ulaw,Out of town.
arizps,callout_type,1007.ulaw,Call until notify.
arizps,callout_type,1008.ulaw,Emergency.
arizps,callout_type,1009.ulaw,All hands on deck.
arizps,callout_type,1011.ulaw,Fill shift.
arizps,callout_type,1012.ulaw,Response.
arizps,callout_type,1014.ulaw,Travel.
arizps,callout_type,1015.ulaw,Prearranged.
arizps,callout_type,1019.ulaw,Out of town.
arizps,callout_type,1020.ulaw,Mutual aid.
arizps,callout_type,1021.ulaw,Rearranged overtime assignment.
arizps,callout_type,1022.ulaw,Travel.
arizps,callout_type,1023.ulaw,Fill shift.
arizps,callout_type,1024.ulaw,Plant.
arizps,callout_type,1025.ulaw,Notification.
arizps,callout_type,1038.ulaw,All call.
arizps,callout_type,1039.ulaw,Emergency response condition.
arizps,callout_type,1188.ulaw,Hold over.
arizps,callout_type,1272.ulaw,Over time.
arizps,callout_type,1298.ulaw,Emergent.
arizps,callout_type,1299.ulaw,Training coverage.
arizps,callout_type,1300.ulaw,Startup support.
arizps,callout_type,1358.ulaw,Normal.
arizps,callout_type,1463.ulaw,Emergent ops.
arizps,callout_type,1464.ulaw,Emergent maintenance.
arizps,callout_type,1465.ulaw,Scheduled OT ops.
arizps,callout_type,1466.ulaw,Scheduled OT maintenance.
arizps,company,1201.ulaw,APS.
arizps,company,1265.ulaw,Press any key to continue.
arizps,job_classification,3001.ulaw,Cable splicer.
arizps,job_classification,3002.ulaw,Crew foreman.
arizps,job_classification,3003.ulaw,Crew foreman hot stick.
arizps,job_classification,3004.ulaw,District serviceman.
arizps,job_classification,3005.ulaw,Electric serviceman.
arizps,job_classification,3006.ulaw,Electrician.
arizps,job_classification,3007.ulaw,Facilities locator.
arizps,job_classification,3008.ulaw,Tree worker.
arizps,job_classification,3009.ulaw,Helper.
arizps,job_classification,3010.ulaw,Hull digger.
arizps,job_classification,3011.ulaw,Lineman.
arizps,job_classification,3012.ulaw,Equipment operator.
arizps,job_classification,3013.ulaw,P and C technician.
arizps,job_classification,3014.ulaw,Relay calibration technician.
arizps,job_classification,3015.ulaw,Substation technician.
arizps,job_classification,3016.ulaw,Troubleman.
arizps,job_classification,3017.ulaw,Truck driver.
arizps,job_classification,3018.ulaw,Utility worker.
arizps,job_classification,3019.ulaw,Associate.
arizps,job_classification,3020.ulaw,Scheduler.
arizps,job_classification,3021.ulaw,Senior associate.
asales,callout_type,1001.ulaw,Normal.
asales,callout_type,1002.ulaw,Fill shift.
asales,callout_type,1009.ulaw,All hands on deck.
asales,callout_type,1014.ulaw,Travel.
asales,callout_type,1025.ulaw,Notification.
asales,callout_type,1083.ulaw,Augmentation capability assessment.
asales,callout_type,1099.ulaw,Contractor.
asales,callout_type,1173.ulaw,Notification message.
asales,callout_type,1199.ulaw,System emergency assignment.
asales,callout_type,1235.ulaw,"System outage staffing,"
asales,callout_type,1250.ulaw,Fill shift.
asales,callout_type,1341.ulaw,Fill shift.
asales,callout_type,1689.ulaw,Normal ETA.
asales,company,1201.ulaw,ARGOS Power.
asales,company,1265.ulaw,Press any key to continue.
asales,job_classification,3000.ulaw,Arc welder.
asales,job_classification,3001.ulaw,Distribution crew leader.
asales,job_classification,3002.ulaw,Distribution mechanic.
asales,job_classification,3003.ulaw,Distribution technician.
asales,job_classification,3004.ulaw,Weak survey specialist.
asales,job_classification,3005.ulaw,Operations employee.
asales,job_classification,3006.ulaw,System operations employee.
asales,job_classification,3007.ulaw,Watch and protect locator.
asales,job_classification,3008.ulaw,Senior line worker.
asales,job_classification,3009.ulaw,Lineman.
asales,job_classification,3010.ulaw,Lineman apprentice.
asales,job_classification,3011.ulaw,Groundman.
asales,job_classification,3012.ulaw,Electric serviceman.
asales,job_classification,3013.ulaw,Crew leader.
asales,job_classification,3014.ulaw,Foreman.
asales,job_classification,3015.ulaw,Underground lineman trainee.
ast,callout_type,1001.ulaw,Normal.
ast,callout_type,1007.ulaw,Call until notify.
ast,callout_type,1014.ulaw,Travel.
ast,callout_type,1016.ulaw,Fill shift.
ast,callout_type,1025.ulaw,Notification.
ast,callout_type,1110.ulaw,Planned overtime.
ast,callout_type,1210.ulaw,Emergency.
ast,callout_type,1212.ulaw,Emergency.
ast,company,1201.ulaw,Transcription Failed: list index out of range
ast,company,1265.ulaw,Press any key to continue.
atmosec,callout_type,1001.ulaw,Normal.
atmosec,callout_type,1007.ulaw,Call until notify.
atmosec,callout_type,1008.ulaw,Emergency.
atmosec,callout_type,1009.ulaw,All hands on deck.
atmosec,callout_type,1014.ulaw,Travel.
atmosec,callout_type,1016.ulaw,Fill shift.
atmosec,callout_type,1025.ulaw,Notification.
atmosec,callout_type,1110.ulaw,Planned overtime.
atmosec,callout_type,1210.ulaw,Emergency.
atmosec,callout_type,1212.ulaw,Emergency.
atmosec,callout_type,1415.ulaw,Scheduled work.
atmosec,callout_type,1593.ulaw,Future work.
atmosec,company,1201.ulaw,Atmos Energy.
atmosec,company,1265.ulaw,Press any key to continue.
auss,callout_type,1001.ulaw,Normal.
auss,callout_type,1025.ulaw,Notification.
auss,callout_type,1341.ulaw,Fill shift.
auss,callout_type,1378.ulaw,Normal drill.
auss,callout_type,1379.ulaw,Normal drill.
auss,company,1201.ulaw,Marcos.
auss,company,1265_10.ulaw,Press any key to continue.
avangrid,callout_type,1001.ulaw,Normal.
avangrid,callout_type,1002.ulaw,Fill shift.
avangrid,callout_type,1004.ulaw,Out of town.
avangrid,callout_type,1007.ulaw,All hand.
avangrid,callout_type,1009.ulaw,All hands on deck.
avangrid,callout_type,1014.ulaw,Travel.
avangrid,callout_type,1020.ulaw,Mutual aid.
avangrid,callout_type,1025.ulaw,Notification.
avangrid,callout_type,1054.ulaw,On call supervisor.
avangrid,callout_type,1087.ulaw,Shift coverage.
avangrid,callout_type,1185.ulaw,Gas trouble.
avangrid,callout_type,1186.ulaw,Call transfer normal.
avangrid,callout_type,1235.ulaw,"System outage staffing,"
avangrid,callout_type,1266.ulaw,Critical staffing request.
avangrid,callout_type,1267.ulaw,Critical staffing request.
avangrid,callout_type,1336.ulaw,Critical staffing request.
avangrid,callout_type,1387.ulaw,M and g. Normal.
avangrid,callout_type,1510.ulaw,All hand.
avangrid,company,1201.ulaw,Oven grid.
avangrid,company,1265.ulaw,Press any key to continue.
avangrid,job_classification,1292.ulaw,"Mechanic, first class."
avangrid,job_classification,1300.ulaw,Chief mechanic.
avangrid,job_classification,1408.ulaw,Line working leader.
avangrid,job_classification,1409.ulaw,Line troubleshooter.
avangrid,job_classification,1410.ulaw,"Line worker, first class."
avangrid,job_classification,1411.ulaw,"Line worker, second class."
avangrid,job_classification,1412.ulaw,"Line worker, third class."
avangrid,job_classification,1413.ulaw,"Line worker, fourth class."
avangrid,job_classification,1414.ulaw,"Line worker, fifth class."
avangrid,job_classification,1415.ulaw,Client relations center working leader.
avangrid,job_classification,1416.ulaw,Client relations center working leader.
avangrid,job_classification,1417.ulaw,Client relations center associate.
avangrid,job_classification,1418.ulaw,Client relations center associate.
avangrid,job_classification,1419.ulaw,"Client relations center associate, part time."
avangrid,job_classification,1420.ulaw,Residential collections representative.
avangrid,job_classification,1421.ulaw,Senior residential collections representative.
avangrid,job_classification,1422.ulaw,Residential collections representative.
avangrid,job_classification,1423.ulaw,Senior residential collections representative.
avangrid,job_classification,1424.ulaw,Client relations center associate.
avangrid,job_classification,1425.ulaw,Client relations center associate.
avangrid,job_classification,1426.ulaw,Client relations center associate.
avangrid,job_classification,1427.ulaw,Client relations center associate.
avangrid,job_classification,1428.ulaw,"Client relations center associate, part time."
avangrid,job_classification,1429.ulaw,"Client relations center associate, part time."
avangrid,job_classification,1430.ulaw,Parts and repair mechanic.
avangrid,job_classification,1431.ulaw,"Mechanic, second class."
avangrid,job_classification,1432.ulaw,Mechanic helper.
avangrid,job_classification,1433.ulaw,Garage attendant.
avangrid,job_classification,1434.ulaw,Logistics specialist a.
avangrid,job_classification,1435.ulaw,Logistics working leader.
avangrid,job_classification,1436.ulaw,Logistics specialist b.
avangrid,job_classification,1437.ulaw,Underground helper b.
avangrid,job_classification,1438.ulaw,Underground helper a.
avangrid,job_classification,1439.ulaw,Underground specialist.
avangrid,job_classification,1440.ulaw,Underground inspector.
avangrid,job_classification,1441.ulaw,"Underground cable slicer, third class."
avangrid,job_classification,1442.ulaw,"Underground cable splicer, second class."
avangrid,job_classification,1443.ulaw,"Underground cable splicer, first class."
avangrid,job_classification,1444.ulaw,"Underground working leader,"
avangrid,job_classification,1445.ulaw,"Substation electrician, first class."
avangrid,job_classification,1446.ulaw,Substation electrician specialist.
avangrid,job_classification,1447.ulaw,Substation electrician construction and maintenance.
avangrid,job_classification,1448.ulaw,"Substation electrician, third class."
avangrid,job_classification,1449.ulaw,"Substation electrician, second class."
avangrid,job_classification,1450.ulaw,GloveLab technician.
avangrid,job_classification,1451.ulaw,Substation utility worker.
avangrid,job_classification,1452.ulaw,Electric system maintenance worker.
avangrid,job_classification,1453.ulaw,Customer electrician.
avangrid,job_classification,1454.ulaw,Standard field working leader.
avangrid,job_classification,1455.ulaw,Field technician.
avangrid,job_classification,1456.ulaw,Field technician.
avangrid,job_classification,1457.ulaw,Field technician.
avangrid,job_classification,1458.ulaw,Collection field technician.
avangrid,job_classification,1459.ulaw,Collection field technician.
avangrid,job_classification,1460.ulaw,Ground level facility inspector.
avangrid,job_classification,1461.ulaw,Standard resource support associate.
avangrid,job_classification,1462.ulaw,Electric test technician.
avangrid,job_classification,1463.ulaw,"Electric test assistant, a."
avangrid,job_classification,1464.ulaw,Electric test assistant b.
avangrid,job_classification,1477.ulaw,Building services specialist.
avangrid,job_classification,1485.ulaw,Billing rep.
avangrid,job_classification,3000.ulaw,Apprentice.
avangrid,job_classification,3001.ulaw,Helper.
avangrid,job_classification,3002.ulaw,Helper assistant.
avangrid,job_classification,3003.ulaw,Swacker helper.
avangrid,job_classification,3004.ulaw,Switcher.
avangrid,job_classification,3005.ulaw,Working leader.
avangrid,job_classification,500.ulaw,Arccos user.
avista,callout_type,1001.ulaw,Normal.
avista,callout_type,1004.ulaw,Out of town.
avista,callout_type,1007.ulaw,All hand.
avista,callout_type,1009.ulaw,All hand.
avista,callout_type,1011.ulaw,Fill shift.
avista,callout_type,1012.ulaw,Response.
avista,callout_type,1014.ulaw,Travel.
avista,callout_type,1015.ulaw,(blank)
avista,callout_type,1019.ulaw,Out of town.
avista,callout_type,1020.ulaw,Mutual aid.
avista,callout_type,1021.ulaw,Rearranged overtime assignment.
avista,callout_type,1022.ulaw,Travel.
avista,callout_type,1023.ulaw,Fill shift.
avista,callout_type,1024.ulaw,Plant.
avista,callout_type,1025.ulaw,Notification.
avista,callout_type,1038.ulaw,All call.
avista,callout_type,1039.ulaw,Emergency response condition.
avista,callout_type,1050.ulaw,Scheduled overtime.
avista,callout_type,1051.ulaw,Escalated operations.
avista,callout_type,1052.ulaw,Gas emergency.
avista,callout_type,1053.ulaw,Electric emergency.
avista,callout_type,1054.ulaw,On call supervisor.
avista,callout_type,1061.ulaw,Single person electric.
avista,callout_type,1062.ulaw,Single person gas.
avista,callout_type,1088.ulaw,Electric emergency.
avista,callout_type,1089.ulaw,Gas emergency.
avista,callout_type,1090.ulaw,On call supervisor.
avista,company,1201.ulaw,Mister.
avista,company,1265.ulaw,Press any key to continue.
basebld,callout_type,1001.ulaw,Normal.
basebld,callout_type,1007.ulaw,Call until notify.
basebld,callout_type,1014.ulaw,Travel.
basebld,callout_type,1016.ulaw,Fill shift.
basebld,callout_type,1025.ulaw,Notification.
basebld,callout_type,1110.ulaw,Planned overtime.
basebld,callout_type,1210.ulaw,Emergency.
basebld,callout_type,1212.ulaw,Emergency.
basebld,company,1201.ulaw,Base build.
basebld,company,1265.ulaw,Press any key to continue.
basetest,callout_type,1001.ulaw,Normal.
basetest,callout_type,1007.ulaw,Call until notify.
basetest,callout_type,1014.ulaw,Travel.
basetest,callout_type,1016.ulaw,Fill shift.
basetest,callout_type,1025.ulaw,Notification.
basetest,callout_type,1110.ulaw,Planned overtime.
basetest,callout_type,1210.ulaw,Emergency.
basetest,callout_type,1212.ulaw,Emergency.
basetest,company,1201.ulaw,Base build test scheme.
basetest,company,1265.ulaw,Press any key to continue.
beci,callout_type,1001.ulaw,Normal.
beci,callout_type,1007.ulaw,Call until notify.
beci,callout_type,1014.ulaw,Travel.
beci,callout_type,1016.ulaw,Fill shift.
beci,callout_type,1025.ulaw,Notification.
beci,callout_type,1057.ulaw,Planned work.
beci,callout_type,1110.ulaw,Planned overtime.
beci,callout_type,1210.ulaw,Emergency.
beci,callout_type,1212.ulaw,Emergency.
beci,company,1201.ulaw,Bluebonnet Electric.
beci,company,1265.ulaw,Press any key to continue.
bentonpud,callout_type,1001.ulaw,Normal.
bentonpud,callout_type,1007.ulaw,Call until notify.
bentonpud,callout_type,1014.ulaw,Travel.
bentonpud,callout_type,1016.ulaw,Fill shift.
bentonpud,callout_type,1025.ulaw,Notification.
bentonpud,callout_type,1110.ulaw,Planned overtime.
bentonpud,callout_type,1210.ulaw,Emergency.
bentonpud,callout_type,1212.ulaw,Emergency.
bentonpud,callout_type,1837.ulaw,Normal CRC.
bentonpud,company,1201.ulaw,"Benton, PUD."
bentonpud,company,1265.ulaw,Press any key to continue.
berkec,callout_type,1001.ulaw,Normal.
berkec,callout_type,1007.ulaw,Call until notify.
berkec,callout_type,1009.ulaw,All hands on deck.
berkec,callout_type,1014.ulaw,Travel.
berkec,callout_type,1016.ulaw,Fill shift.
berkec,callout_type,1025.ulaw,Notification.
berkec,callout_type,1110.ulaw,Planned overtime.
berkec,callout_type,1210.ulaw,Transcription Failed: The read operation timed out
berkec,callout_type,1212.ulaw,Emergency.
berkec,callout_type,1529.ulaw,Assistance needed.
berkec,callout_type,1566.ulaw,Emergency assistance.
berkec,callout_type,1567.ulaw,Weather related assistance.
berkec,callout_type,1576.ulaw,Emergency assistance.
berkec,callout_type,1577.ulaw,Weather related assistance.
berkec,company,1201.ulaw,Berkeley Electric Cooperative.
berkec,company,1265.ulaw,Press any key to continue.
beta,callout_type,1001.ulaw,Normal.
beta,callout_type,1002.ulaw,Fill shift.
beta,callout_type,1004.ulaw,Out of town.
beta,callout_type,1007.ulaw,Call until notify.
beta,callout_type,1009.ulaw,All hands on deck.
beta,callout_type,1011.ulaw,Fill shift.
beta,callout_type,1012.ulaw,Response.
beta,callout_type,1014.ulaw,Travel.
beta,callout_type,1015.ulaw,Prearranged.
beta,callout_type,1019.ulaw,Out of town.
beta,callout_type,1020.ulaw,Mutual aid.
beta,callout_type,1021.ulaw,Rearranged overtime assignment.
beta,callout_type,1022.ulaw,Travel.
beta,callout_type,1023.ulaw,Fill shift.
beta,callout_type,1024.ulaw,Plant.
beta,callout_type,1025.ulaw,Notification.
beta,callout_type,1029.ulaw,Emergency notification.
beta,callout_type,1243.ulaw,Scheduled overtime.
beta,callout_type,1244.ulaw,Miscellaneous.
beta,callout_type,1245.ulaw,"Normal overhead,"
beta,callout_type,1246.ulaw,Normal underground.
beta,callout_type,1440.ulaw,Incident management.
beta,company,1060.ulaw,No changes may be made through the Barco's power callout system.
beta,company,1201.ulaw,Marcos Power.
beta,company,1265.ulaw,Press any key to continue.
bge,callout_type,1001.ulaw,Normal.
bge,callout_type,1002.ulaw,Fill shift.
bge,callout_type,1009.ulaw,All hands on deck.
bge,callout_type,1025.ulaw,Notification.
bge,callout_type,1043.ulaw,Mutual assistance.
bge,callout_type,1057.ulaw,Planned work.
bge,callout_type,1180.ulaw,Closest to trouble.
bge,callout_type,1207.ulaw,Overhead storm.
bge,callout_type,1208.ulaw,General Storm.
bge,callout_type,1209.ulaw,Severe impact storm.
bge,callout_type,1318.ulaw,Yes.
bge,callout_type,1721.ulaw,All hands event.
bge,callout_type,1722.ulaw,First pass free.
bge,company,1201.ulaw,B g e.
bge,company,1265.ulaw,Press any key to continue.
bhc,callout_type,1001.ulaw,Normal.
bhc,callout_type,1007.ulaw,Call until notify.
bhc,callout_type,1014.ulaw,Travel.
bhc,callout_type,1016.ulaw,Fill shift.
bhc,callout_type,1025.ulaw,Notification.
bhc,callout_type,1110.ulaw,Planned overtime.
bhc,callout_type,1210.ulaw,Emergency.
bhc,callout_type,1212.ulaw,Emergency.
bhc,callout_type,1366.ulaw,CTT.
bhc,company,1201.ulaw,Black Hills Energy.
bhc,company,1265.ulaw,Press any key to continue.
blueridge,callout_type,1001.ulaw,Normal.
blueridge,callout_type,1002.ulaw,Fill shift.
blueridge,callout_type,1007.ulaw,Call until notify.
blueridge,callout_type,1014.ulaw,Travel.
blueridge,callout_type,1016.ulaw,Fill shift.
blueridge,callout_type,1025.ulaw,Notification.
blueridge,callout_type,1110.ulaw,Planned overtime.
blueridge,callout_type,1210.ulaw,Emergency.
blueridge,callout_type,1212.ulaw,Emergency.
blueridge,callout_type,1529.ulaw,Assistance needed.
blueridge,callout_type,1694.ulaw,Duty crew.
blueridge,callout_type,1695.ulaw,Scheduled work outage.
blueridge,callout_type,1696.ulaw,Outage.
blueridge,callout_type,1697.ulaw,Pickens duty crew.
blueridge,callout_type,1698.ulaw,Assistance needed.
blueridge,callout_type,1699.ulaw,Pickens emergency assistance.
blueridge,callout_type,1700.ulaw,Bacon's scheduled work outage.
blueridge,callout_type,1701.ulaw,Oconee duty crew.
blueridge,callout_type,1702.ulaw,Fiber.
blueridge,callout_type,1704.ulaw,Substation duty.
blueridge,callout_type,1705.ulaw,"CSR duty,"
blueridge,callout_type,1706.ulaw,"Warehouse duty,"
blueridge,callout_type,1707.ulaw,"Generator Duty,"
blueridge,callout_type,1708.ulaw,Fiber duty.
blueridge,callout_type,1709.ulaw,Field account duty.
blueridge,callout_type,1710.ulaw,Fiber support.
blueridge,callout_type,1711.ulaw,"Scheduled work, planned outage."
blueridge,callout_type,1718.ulaw,Dog.
blueridge,callout_type,1731.ulaw,Generator assistance needed.
blueridge,callout_type,1732.ulaw,Field account assistance needed.
blueridge,callout_type,1733.ulaw,Engineering assistance needed.
blueridge,callout_type,1734.ulaw,Oil spill assistance needed.
blueridge,callout_type,1735.ulaw,Warehouse assistance needed.
blueridge,callout_type,1736.ulaw,CSR assistance needed.
blueridge,company,1201.ulaw,Blue Ridge Electric.
blueridge,company,1265.ulaw,Press any key to continue.
bsales,callout_type,1001.ulaw,Normal.
bsales,callout_type,1002.ulaw,Fill shift.
bsales,callout_type,1009.ulaw,All hands on deck.
bsales,callout_type,1014.ulaw,Travel.
bsales,callout_type,1025.ulaw,Notification.
bsales,callout_type,1083.ulaw,Augmentation capability assessment.
bsales,callout_type,1099.ulaw,Contractor.
bsales,callout_type,1173.ulaw,Notification message.
bsales,callout_type,1199.ulaw,System emergency assignment.
bsales,callout_type,1235.ulaw,"System outage staffing,"
bsales,callout_type,1250.ulaw,Fill shift.
